Date,Ticker,Open,High,Low,Close,VWAP,Volume,SMA_20,EMA_12,RSI_14,MACD,BB_width,Target,RF_Prediction,XGB_Prediction,Avg_Prediction,Signal
27-02-2020,AAPL,67.98458626,69.16965937,66.01590779,66.1513443,74.48835204,320605600,75.81629143,73.51240099,20.96255353,-1.98152968,0.185694497,66.11266327,68.33018048,67.314095,67.82213751,0
28-02-2020,AAPL,62.21885173,67.33402037,62.0035999,66.11266327,73.42059035,426510000,75.21476707,72.3739798,22.03043635,-2.425042172,0.217184709,72.26779175,70.61161649,71.59342,71.10251921,0
02-03-2020,AAPL,68.26997869,72.90386366,67.16713422,72.26779175,73.31384738,341397200,75.09423752,72.35764318,39.4094341,-2.25388026,0.220298169,69.97263336,70.34526884,70.3226,70.33393508,-1
03-03-2020,AAPL,73.44321158,73.52301951,69.12130946,69.97263336,73.04742014,319475600,74.86920433,71.99071859,36.82011286,-2.27718336,0.229246745,73.21828461,71.89884746,71.01477,71.45680898,0
04-03-2020,AAPL,71.6946197,73.37790784,70.89409003,73.21828461,73.05628261,219178400,74.68352203,72.1795749,39.87079146,-2.010577617,0.229086707,70.84327698,70.33330614,70.12503,70.22916833,-1
05-03-2020,AAPL,71.47208615,72.44674922,70.47807817,70.84327698,72.96222469,187572800,74.34772263,71.97399061,37.54191074,-1.968245207,0.231514835,69.90250397,69.36425756,70.173294,69.76877581,-1
06-03-2020,AAPL,68.2022842,70.33542124,68.01606076,69.90250397,72.81305969,226176800,73.919524,71.65530035,36.39807428,-1.987696063,0.23256745,64.37374878,66.48006508,65.976654,66.22835957,-1
09-03-2020,AAPL,63.7884637,67.25662043,63.60707471,64.37374878,72.32181899,286744800,73.26821671,70.53506165,32.26583917,-2.421323831,0.2571315,69.01005554,67.72679898,68.479004,68.10290144,0
10-03-2020,AAPL,67.02687338,69.27609424,65.14767843,69.01005554,72.14052326,285290000,72.83034363,70.30044533,38.29354965,-2.363619419,0.256846179,66.61329651,66.79915291,65.67529,66.23722294,-1
11-03-2020,AAPL,67.08733176,68.0136217,65.74988307,66.61329651,71.88211081,255598800,72.29609222,69.73319166,36.80990948,-2.482668028,0.262754443,60.03491974,62.59389007,61.1497,61.87179512,-1
12-03-2020,AAPL,61.89960025,65.30003871,59.97929481,60.03491974,71.03974818,418474000,71.34113922,68.24114983,32.94566772,-3.072418015,0.291583367,67.22760773,63.36048202,66.67637,65.01842537,0
13-03-2020,AAPL,64.06418649,67.69922213,61.17646902,67.22760773,70.81384893,370732000,70.7739975,68.08522027,45.06856517,-2.925683856,0.281719335,58.57897568,59.66815335,59.410355,59.53925398,-1
16-03-2020,AAPL,58.51609179,62.65901413,58.04448112,58.57897568,70.21421268,322423600,69.77345638,66.6227211,40.05290141,-3.467299436,0.305537607,61.1546936,61.02348684,61.201534,61.11251056,0
17-03-2020,AAPL,59.860784,62.30348685,57.65751225,61.1546936,69.78890397,324056000,68.9736517,65.7814861,41.59308663,-3.646658367,0.311096854,59.65763474,59.69792168,59.815273,59.75659748,-1
